Chemical name,External chemical identifier,Number of SHDs containing the phytochemical,Plant name
Beta-sitosterol,CID_222284,7,Aegle marmelos | Butea monosperma | Commiphora wightii | Diospyros malabarica | Tecomella undulata | Tectona grandis | Terminalia arjuna
Lupeol,CID_259846,4,Aegle marmelos | Diospyros malabarica | Gymnema sylvestre | Pterocarpus marsupium
Ferulate,CID_445858,3,Commiphora wightii | Gymnema sylvestre | Tecomella undulata
Myristic acid,CID_11005,3,Butea monosperma | Enicostema axillare | Gymnema sylvestre
Beta-sitosterol glucoside,CID_5742590,3,Butea monosperma | Diospyros malabarica | Tecomella undulata
Octadecanoic acid,CID_5281,3,Butea monosperma | Enicostema axillare | Gymnema sylvestre
Beta-Sitosterol-beta-D-glucoside,CID_12309055,3,Butea monosperma | Diospyros malabarica | Tecomella undulata
n-Nonacosane,CID_12409,3,Enicostema axillare | Gymnema sylvestre | Tecomella undulata
n-Heptacosane,CID_11636,3,Enicostema axillare | Gymnema sylvestre | Tecomella undulata
Oleanolic acid,CID_10494,2,Pterocarpus marsupium | Terminalia arjuna
n-Triacontanol,CID_68972,2,Commiphora wightii | Tecomella undulata
Stigmasterol,CID_5280794,2,Commiphora wightii | Gymnema sylvestre
Hentriacontane,CID_12410,2,Gymnema sylvestre | Terminalia arjuna
Betulinic acid,CID_64971,2,Diospyros malabarica | Tectona grandis
Dehydrotectol,CID_3037329,2,Tecomella undulata | Tectona grandis
Lapachol,CID_3884,2,Tecomella undulata | Tectona grandis
Palmitic acid,CID_985,2,Butea monosperma | Gymnema sylvestre
Oleic acid,CID_445639,2,Butea monosperma | Enicostema axillare
N-hexacosanol,CID_68171,2,Diospyros malabarica | Enicostema axillare
Beta amyrin,CID_73145,2,Diospyros malabarica | Gymnema sylvestre
Betulin,CID_72326,2,Diospyros malabarica | Enicostema axillare
n-Triacontane,CID_12535,2,Gymnema sylvestre | Tecomella undulata
Stilbenes,CID_638088,1,Pterocarpus marsupium
Propterol B,CHEMSPIDER_10306372,1,Pterocarpus marsupium
P-Hydroxybenzaldehyde,CID_126,1,Pterocarpus marsupium
(-)-Epicatechin,CID_72276,1,Pterocarpus marsupium
5-deoxykaempferol,CID_5281611,1,Pterocarpus marsupium
Liquiritigenin,CID_114829,1,Pterocarpus marsupium
Garbanzol,CID_442410,1,Pterocarpus marsupium
"7,4'-dihydroxyflavone",CID_5282073,1,Pterocarpus marsupium
Marsupsin,CID_134369,1,Pterocarpus marsupium
Parsupol,CID_6437266,1,Pterocarpus marsupium
Naringenin,CID_439246,1,Pterocarpus marsupium
"7-hydroxy-5,4'-dimethoxy-8-methylisoflavone-7-rhamnoside",CID_44257328,1,Pterocarpus marsupium
Isoliquiritigenin,CID_638278,1,Pterocarpus marsupium
Propterol,CID_185124,1,Pterocarpus marsupium
Beta Eudesmol,CID_91457,1,Pterocarpus marsupium
Pterostilbene,CID_5281727,1,Pterocarpus marsupium
7-hydroxyflavanone,CID_688857,1,Pterocarpus marsupium
Pterosupin,CID_133775,1,Pterocarpus marsupium
Pseudobaptigenin,CID_5281805,1,Pterocarpus marsupium
Guggulsterol III,CID_101297675,1,Commiphora wightii
20 beta hydroxy -4-pregnen-3-one,CID_92747,1,Commiphora wightii
Myrcene,CID_31253,1,Commiphora wightii
Allylcembrol,CID_5368823,1,Commiphora wightii
E-guggulsterone,CID_6439929,1,Commiphora wightii
Guggulsterol I,CID_101297673,1,Commiphora wightii
Z-guggulsterone,CID_122173119,1,Commiphora wightii
Cholesterol,CID_5997,1,Commiphora wightii
Cembrene A,CID_5281384,1,Commiphora wightii
Sesamin,CID_5204,1,Commiphora wightii
Caryophyllene,CID_5281515,1,Commiphora wightii
Cembrene,CID_11747713,1,Commiphora wightii
20 alpha hydroxy-4-pregnen-3-one,CID_161109,1,Commiphora wightii
Mukulol,CID_90472510,1,Commiphora wightii
Alpha-camphorene,CID_101750,1,Commiphora wightii
Guggulsterol II,CID_101297674,1,Commiphora wightii
Pluviatilol,CID_70695727,1,Commiphora wightii
Terminic acid,CID_132568257,1,Terminalia arjuna
Oxalic acid,CID_971,1,Terminalia arjuna
Arjunic acid,CID_15385516,1,Terminalia arjuna
Tomentosic acid,CID_622032,1,Terminalia arjuna
Arjungenin,CID_12444386,1,Terminalia arjuna
Cerasidin,CID_14034812,1,Terminalia arjuna
Myristyl oleate,CID_5365034,1,Terminalia arjuna
Epigallocatechol,CID_72277,1,Terminalia arjuna
Ellagic acid,CID_5281855,1,Terminalia arjuna
Friedelin,CID_91472,1,Terminalia arjuna
Baicalein,CID_5281605,1,Terminalia arjuna
Arjunolone,CAS_82178-34-5,1,Terminalia arjuna
Mannitol,CID_6251,1,Terminalia arjuna
Catechol,CID_289,1,Terminalia arjuna
Leucodelphinidin,CID_440835,1,Terminalia arjuna
Arjunolic acid,CID_73641,1,Terminalia arjuna
(+)-Gallocatechol,CID_65084,1,Terminalia arjuna
Anthraquinones,CID_6780,1,Tectona grandis
Naphthalene,CID_931,1,Tectona grandis
Anthraquinone-2-carboxylic acid,CID_67030,1,Tectona grandis
Tectoquinone,CID_6773,1,Tectona grandis
Dehydro-alpha-lapachone,CID_72734,1,Tectona grandis
"1-hydroxy-5-methoxy-2-methyl-9,10-anthraquinone",CID_13970503,1,Tectona grandis
Tecomaquinone I,CID_3574508,1,Tectona grandis
"9,10-dimethoxy-2-methyl-1,4-anthraquinone",CID_14283285,1,Tectona grandis
5-hydroxyalpachol,CID_5318245,1,Tectona grandis
Anthraquinone-2-carboxaldehyde,CID_344310,1,Tectona grandis
Imperatorin,CID_10212,1,Aegle marmelos
Aegelinol,CID_600671,1,Aegle marmelos
Umbelliferone,CID_5281426,1,Aegle marmelos
Aurapten,CID_1550607,1,Aegle marmelos
Marmesin,CID_334704,1,Aegle marmelos
Coumarins,CID_323,1,Aegle marmelos
Marmin,CID_6450230,1,Aegle marmelos
Fagarine,CID_107936,1,Aegle marmelos
Skimmianine,CID_6760,1,Aegle marmelos
Lignoceric acid,CID_11197,1,Butea monosperma
Behenic acid,CID_8215,1,Butea monosperma
n-Heneicosanoic acid,CID_16898,1,Butea monosperma
Linolenic acid,CID_5280934,1,Butea monosperma
Linoleic acid,CID_5280450,1,Butea monosperma
Alpha-amyrin,CID_73170,1,Butea monosperma
15-hydroxypentacosanoic acid,CID_5312784,1,Butea monosperma
Palasonin,CID_198727,1,Butea monosperma
Aleurilic acid,CID_10790,1,Butea monosperma
Monospermoside,CID_42607524,1,Butea monosperma
Caprylic acid,CID_379,1,Butea monosperma
Isocoreopsin,CID_12309899,1,Butea monosperma
Arachidic acid,CID_10467,1,Butea monosperma
Phosphatidylethanolamine,CID_102515444,1,Butea monosperma
Capric acid,CID_2969,1,Butea monosperma
Sulfurein,CID_10071442,1,Butea monosperma
Isomonospermoside,CID_42607822,1,Butea monosperma
Coreopsin,CID_12303942,1,Butea monosperma
Lysophosphatidylcholine,CID_5311264,1,Butea monosperma
Delta-lactone,CID_49831545,1,Butea monosperma
Lauric acid,CID_3893,1,Butea monosperma
Marsformosanone,CID_22296838,1,Diospyros malabarica
Taraxerone,CID_92785,1,Diospyros malabarica
Gallic acid,CID_370,1,Diospyros malabarica
Pongaflavone,CID_14033983,1,Diospyros malabarica
Peregrinol,CID_7092583,1,Diospyros malabarica
Hexacosane,CID_12407,1,Diospyros malabarica
Triterpenoids,CID_71597391,1,Diospyros malabarica
Palmatine,CID_19009,1,Berberis aristata
Karachine,CID_630739,1,Berberis aristata
Kalashine,CID_156697,1,Berberis aristata
Oxyacanthine,CID_442333,1,Berberis aristata
Jatrorrhizine,CID_72323,1,Berberis aristata
Chitraline,CAS_77754-91-7,1,Berberis aristata
1 - O - methyl pakistanine,CID_181478,1,Berberis aristata
Pakistanine,CID_193239,1,Berberis aristata
Berberine,CID_2353,1,Berberis aristata
Oxyberberine,CID_11066,1,Berberis aristata
p-Guaiacol,CID_9015,1,Gymnema sylvestre
Pentatriacontane,CID_12413,1,Gymnema sylvestre
Tetradecadiene,CID_6365430,1,Gymnema sylvestre
Gymnestrogenin,CID_15560302,1,Gymnema sylvestre
Tartaric acid,CID_439655,1,Gymnema sylvestre
Tetracosane,CID_12592,1,Gymnema sylvestre
Octanol,CID_957,1,Gymnema sylvestre
Betaine,CID_247,1,Gymnema sylvestre
Octadecanol,CID_8221,1,Gymnema sylvestre
Angelic acid,CID_643915,1,Gymnema sylvestre
Phytol,CID_5280435,1,Gymnema sylvestre
Glucuronic acid,CID_94715,1,Gymnema sylvestre
Pentadecanoic acid,CID_13849,1,Gymnema sylvestre
Formic Acid,CID_284,1,Gymnema sylvestre
"9,12,15-Octadecatrienal",CID_5283384,1,Gymnema sylvestre
Choline,CID_305,1,Gymnema sylvestre
Tetradecanol,CID_8209,1,Gymnema sylvestre
"1,8-Cineole",CID_2758,1,Gymnema sylvestre
Eugenol,CID_3314,1,Gymnema sylvestre
Methyl eugenol,CID_7127,1,Gymnema sylvestre
1-Hexadecanol,CID_2682,1,Gymnema sylvestre
Butyric acid,CID_264,1,Gymnema sylvestre
Galacturonic acid,CID_439215,1,Gymnema sylvestre
Pentacosane,CID_12406,1,Gymnema sylvestre
m-Ethyl phenol,CID_12101,1,Gymnema sylvestre
D-quercitol,CID_441437,1,Gymnema sylvestre
Dodecanol,CID_8193,1,Gymnema sylvestre
Hydroquinone,CID_785,1,Gymnema sylvestre
Acetophenone,CID_7410,1,Gymnema sylvestre
2-Dodecenol,CID_5352845,1,Gymnema sylvestre
Ethyl palmitate,CID_12366,1,Gymnema sylvestre
Gamma-butyric acid,CID_119,1,Gymnema sylvestre
Methyl palmitate,CID_8181,1,Gymnema sylvestre
b-Elemene,CID_6918391,1,Gymnema sylvestre
2-Pentadecanone,CID_61303,1,Gymnema sylvestre
Conduritol A,CID_10290861,1,Gymnema sylvestre
Germacrene A,CID_9548706,1,Gymnema sylvestre
Pentadecanol,CID_12397,1,Gymnema sylvestre
Ethyl octadec-9-enoate,CID_8123,1,Gymnema sylvestre
Tritriacontane,CID_12411,1,Gymnema sylvestre
Ketones,CID_114522,1,Gymnema sylvestre
Indole,CID_798,1,Gymnema sylvestre
Hexahydrofarnesyl acetone,CID_10408,1,Gymnema sylvestre
Inositol,CID_892,1,Gymnema sylvestre
Gentiocrucine,CAS_22108-77-6,1,Enicostema axillare
Erythrocentaurin,CID_191120,1,Enicostema axillare
Isovitexin,CID_162350,1,Enicostema axillare
Swertisin,CID_124034,1,Enicostema axillare
Enicoflavin,CID_5281564,1,Enicostema axillare
Gentianine,CID_354616,1,Enicostema axillare
Apigenin,CID_5280443,1,Enicostema axillare
Genkwanin,CID_5281617,1,Enicostema axillare
n-Octacosanol,CID_68406,1,Tecomella undulata
Tecomin,NA,1,Tecomella undulata
Undulatosides A,CID_5321494,1,Tecomella undulata
Veratric acid,CID_7121,1,Tecomella undulata
