entrez_id,symbol
18,ABAT
19,ABCA1
5243,ABCB1
8647,ABCB11
4363,ABCC1
1244,ABCC2
8714,ABCC3
10257,ABCC4
6833,ABCC8
10060,ABCC9
9429,ABCG2
25,ABL1
32,ACACB
34,ACADM
1636,ACE
43,ACHE
47,ACLY
52,ACP1
54,ACP5
49,ACR
2180,ACSL1
6868,ADAM17
56999,ADAMTS9
109,ADCY3
111,ADCY5
9370,ADIPOQ
51094,ADIPOR1
79602,ADIPOR2
132,ADK
134,ADORA1
135,ADORA2A
140,ADORA3
148,ADRA1A
147,ADRA1B
146,ADRA1D
150,ADRA2A
151,ADRA2B
152,ADRA2C
153,ADRB1
154,ADRB2
155,ADRB3
27125,AFF4
177,AGER
181,AGRP
183,AGT
185,AGTR1
186,AGTR2
196,AHR
197,AHSG
8165,AKAP1
231,AKR1B1
57016,AKR1B10
1646,AKR1C2
8644,AKR1C3
207,AKT1
208,AKT2
213,ALB
216,ALDH1A1
10840,ALDH1L1
217,ALDH2
7915,ALDH5A1
4329,ALDH6A1
238,ALK
7840,ALMS1
239,ALOX12
246,ALOX15
247,ALOX15B
240,ALOX5
251,ALPG
248,ALPI
249,ALPL
276,AMY1A
277,AMY1B
51129,ANGPTL4
118429,ANTXR2
10239,AP3S2
328,APEX1
335,APOA1
338,APOB
200316,APOBEC3F
60489,APOBEC3G
345,APOC3
348,APOE
351,APP
364,AQP7
367,AR
84100,ARL6
410,ARSA
434,ASIP
79915,ATAD5
467,ATF3
23192,ATG4B
472,ATM
488,ATP2A2
489,ATP2A3
64756,ATPAF1
6311,ATXN2
6790,AURKA
9212,AURKB
26053,AUTS2
552,AVPR1A
554,AVPR2
23621,BACE1
581,BAX
29994,BAZ2B
92482,BBIP1
582,BBS1
79738,BBS10
166379,BBS12
583,BBS2
585,BBS4
129880,BBS5
55212,BBS7
27241,BBS9
590,BCHE
596,BCL2
598,BCL2L1
10018,BCL2L11
613,BCR
624,BDKRB2
627,BDNF
635,BHMT
641,BLM
673,BRAF
672,BRCA1
106821730,BUB1B-PAK6
64897,C12orf43
145741,C2CD4A
388125,C2CD4B
718,C3
759,CA1
771,CA12
377677,CA13
23632,CA14
760,CA2
761,CA3
762,CA4
763,CA5A
11238,CA5B
765,CA6
766,CA7
768,CA9
775,CACNA1C
799,CALCR
805,CALM2
57118,CAMK1D
57172,CAMK1G
815,CAMK2A
816,CAMK2B
817,CAMK2D
818,CAMK2G
814,CAMK4
10645,CAMKK2
11132,CAPN10
10498,CARM1
9607,CARTPT
834,CASP1
836,CASP3
840,CASP7
841,CASP8
847,CAT
865,CBFB
873,CBR1
874,CBR3
875,CBS
10951,CBX1
80212,CCDC92
886,CCKAR
887,CCKBR
6347,CCL2
8900,CCNA1
890,CCNA2
891,CCNB1
9133,CCNB2
85417,CCNB3
595,CCND1
894,CCND2
729230,CCR2
1233,CCR4
1234,CCR5
9332,CD163
948,CD36
958,CD40
968,CD68
993,CDC25A
994,CDC25B
998,CDC42
983,CDK1
5127,CDK16
1017,CDK2
1019,CDK4
1020,CDK5
8851,CDK5R1
1021,CDK6
54901,CDKAL1
8814,CDKL1
1036,CDO1
1050,CEBPA
84984,CEP19
80184,CEP290
1066,CES1
8824,CES2
1071,CETP
157657,CFAP418
1080,CFTR
1111,CHEK1
11200,CHEK2
1128,CHRM1
1129,CHRM2
1131,CHRM3
1132,CHRM4
1133,CHRM5
1137,CHRNA4
1139,CHRNA7
1149,CIDEA
493856,CISD2
1195,CLK1
1196,CLK2
1198,CLK3
80790,CMIP
22866,CNKSR2
1268,CNR1
1269,CNR2
1312,COMT
1350,COX7C
4697,COXFA4
56901,COXFA4L2
1361,CPB2
1363,CPE
1374,CPT1A
1385,CREB1
1401,CRP
1431,CS
1445,CSK
1452,CSNK1A1
1453,CSNK1D
1454,CSNK1E
53944,CSNK1G1
1455,CSNK1G2
1456,CSNK1G3
1457,CSNK2A1
1459,CSNK2A2
283106,CSNK2A3
1460,CSNK2B
1489,CTF1
1504,CTRB1
1511,CTSG
1514,CTSL
1520,CTSS
3576,CXCL8
3577,CXCR1
3579,CXCR2
1528,CYB5A
1535,CYBA
1536,CYBB
54205,CYCS
1586,CYP17A1
1588,CYP19A1
1543,CYP1A1
1544,CYP1A2
1545,CYP1B1
56603,CYP26B1
1553,CYP2A13
1548,CYP2A6
1549,CYP2A7
1555,CYP2B6
1562,CYP2C18
1557,CYP2C19
1558,CYP2C8
1559,CYP2C9
1565,CYP2D6
1571,CYP2E1
1572,CYP2F1
1573,CYP2J2
120227,CYP2R1
29785,CYP2S1
113612,CYP2U1
54905,CYP2W1
1576,CYP3A4
64816,CYP3A43
1577,CYP3A5
100861540,CYP3A7-CYP3A51P
10858,CYP46A1
1579,CYP4A11
284541,CYP4A22
1580,CYP4B1
8529,CYP4F2
4051,CYP4F3
11283,CYP4F8
1595,CYP51A1
10800,CYSLTR1
1612,DAPK1
1613,DAPK3
51181,DCXR
1649,DDIT3
8694,DGAT1
8527,DGKD
1719,DHFR
1723,DHODH
23405,DICER1
1760,DMPK
1759,DNM1
10059,DNM1L
1788,DNMT3A
10072,DPP3
1803,DPP4
1806,DPYD
1812,DRD1
1813,DRD2
1814,DRD3
1815,DRD4
1845,DUSP3
1859,DYRK1A
9149,DYRK1B
1889,ECE1
1892,ECHS1
1906,EDN1
1909,EDNRA
1910,EDNRB
1947,EFNB1
1956,EGFR
54583,EGLN1
112398,EGLN2
112399,EGLN3
79813,EHMT1
10919,EHMT2
1981,EIF4G1
1991,ELANE
1995,ELAVL3
5167,ENPP1
955,ENTPD6
2033,EP300
26122,EPC2
2050,EPHB4
2052,EPHX1
2053,EPHX2
51752,ERAP1
2064,ERBB2
2099,ESR1
2100,ESR2
2110,ETFDH
2113,ETS1
2139,EYA2
2147,F2
2152,F3
2155,F7
2166,FAAH
2168,FABP1
2169,FABP2
2170,FABP3
2167,FABP4
2171,FABP5
355,FAS
2194,FASN
2203,FBP1
2237,FEN1
2864,FFAR1
2865,FFAR3
338557,FFAR4
26291,FGF21
2260,FGFR1
2263,FGFR2
55277,FGGY
2268,FGR
84929,FIBCD1
2321,FLT1
2322,FLT3
2324,FLT4
252995,FNDC5
2353,FOS
3170,FOXA2
2309,FOXO3
2512,FTL
79068,FTO
2526,FUT4
2529,FUT7
2534,FYN
57818,G6PC2
2548,GAA
2550,GABBR1
9568,GABBR2
2554,GABRA1
2555,GABRA2
2556,GABRA3
2557,GABRA4
2558,GABRA5
2559,GABRA6
2560,GABRB1
2561,GABRB2
2562,GABRB3
2563,GABRD
2564,GABRE
2565,GABRG1
2566,GABRG2
2567,GABRG3
2568,GABRP
55879,GABRQ
2569,GABRR1
2570,GABRR2
200959,GABRR3
2581,GALC
2590,GALNT2
2597,GAPDH
8522,GAS7
2629,GBA1
2641,GCG
2642,GCGR
2645,GCK
2646,GCKR
2729,GCLC
2730,GCLM
2671,GFER
2673,GFPT1
2688,GH1
51738,GHRL
2693,GHSR
2695,GIP
2717,GLA
2731,GLDC
2735,GLI1
169792,GLIS3
2739,GLO1
2740,GLP1R
2744,GLS
2752,GLUL
51053,GMNN
2769,GNA15
2770,GNAI1
2778,GNAS
2784,GNB3
132789,GNPDA2
2813,GP2
51206,GP6
151306,GPBAR1
2820,GPD2
2840,GPR17
2859,GPR35
53831,GPR84
2876,GPX1
2878,GPX3
2888,GRB14
2870,GRK6
2931,GSK3A
2932,GSK3B
2936,GSR
2944,GSTM1
2950,GSTP1
2990,GUSB
3033,HADH
3039,HBA1
3043,HBB
338442,HCAR2
3060,HCRT
3065,HDAC1
83933,HDAC10
79885,HDAC11
3066,HDAC2
8841,HDAC3
9759,HDAC4
10014,HDAC5
10013,HDAC6
51564,HDAC7
55869,HDAC8
9734,HDAC9
283450,HECTD4
3077,HFE
3087,HHEX
3091,HIF1A
55662,HIF1AN
3098,HK1
3099,HK2
10363,HMG20A
3159,HMGA1
3148,HMGB2
3156,HMGCR
3162,HMOX1
6927,HNF1A
6928,HNF1B
3172,HNF4A
3215,HOXB5
3240,HP
3248,HPGD
3263,HPX
3269,HRH1
3274,HRH2
11255,HRH3
3290,HSD11B1
3291,HSD11B2
3292,HSD17B1
3028,HSD17B10
3294,HSD17B2
3293,HSD17B3
3303,HSPA1A
3309,HSPA5
3312,HSPA8
3315,HSPB1
3350,HTR1A
3356,HTR2A
3357,HTR2B
3358,HTR2C
3359,HTR3A
3362,HTR6
3363,HTR7
3373,HYAL1
3375,IAPP
3383,ICAM1
3397,ID1
3416,IDE
3417,IDH1
3620,IDO1
3458,IFNG
3479,IGF1
3480,IGF1R
3481,IGF2
10644,IGF2BP2
3485,IGFBP2
3551,IKBKB
3586,IL10
3597,IL13RA1
3553,IL1B
3569,IL6
3574,IL7
56623,INPP5E
3636,INPPL1
3630,INS
723961,INS-IGF2
3643,INSR
51447,IP6K2
253430,IPMK
3667,IRS1
8660,IRS2
3672,ITGA1
3683,ITGAL
3684,ITGAM
3689,ITGB2
55600,ITLN1
23338,JADE2
3716,JAK1
221895,JAZF1
3725,JUN
2648,KAT2A
3741,KCNA5
3757,KCNH2
3767,KCNJ11
83795,KCNK16
3778,KCNMA1
3784,KCNQ1
157855,KCNU1
79047,KCTD15
23028,KDM1A
9682,KDM4A
390245,KDM4E
3791,KDR
9817,KEAP1
57498,KIDINS220
3815,KIT
9365,KL
8462,KLF11
136259,KLF14
4297,KMT2A
3837,KPNB1
283455,KSR2
26013,L3MBTL1
114294,LACTB
3929,LBP
3932,LCK
3949,LDLR
3952,LEP
3953,LEPR
3978,LIG1
3990,LIPC
8513,LIPF
4000,LMNA
4023,LPL
4067,LYN
54585,LZTFL1
10296,MAEA
54551,MAGEL2
4128,MAOA
4129,MAOB
5604,MAP2K1
5605,MAP2K2
5608,MAP2K6
4217,MAP3K5
1326,MAP3K8
11183,MAP4K5
5594,MAPK1
5602,MAPK10
5600,MAPK11
6300,MAPK12
5603,MAPK13
1432,MAPK14
5595,MAPK3
5597,MAPK6
5599,MAPK8
9479,MAPK8IP1
5601,MAPK9
9261,MAPKAPK2
8550,MAPKAPK5
4137,MAPT
57787,MARK4
4143,MAT1A
4154,MBNL1
4159,MC3R
4160,MC4R
4161,MC5R
4170,MCL1
4193,MDM2
4199,ME1
4233,MET
8972,MGAM
11343,MGLL
4282,MIF
406991,MIR21
8195,MKKS
2872,MKNK2
2862,MLNR
4312,MMP1
4322,MMP13
4313,MMP2
4314,MMP3
4316,MMP7
4317,MMP8
4318,MMP9
4594,MMUT
54737,MPHOSPH8
4353,MPO
112609,MRAP2
22808,MRAS
4360,MRC1
4513,MT-CO2
4535,MT-ND1
4536,MT-ND2
4537,MT-ND3
4538,MT-ND4
4539,MT-ND4L
4540,MT-ND5
4541,MT-ND6
23788,MTCH2
4524,MTHFR
4543,MTNR1A
4544,MTNR1B
2475,MTOR
4547,MTTP
4582,MUC1
4653,MYOC
65220,NADK
10135,NAMPT
4694,NDUFA1
4705,NDUFA10
126328,NDUFA11
55967,NDUFA12
51079,NDUFA13
4695,NDUFA2
4696,NDUFA3
4698,NDUFA5
4700,NDUFA6
4701,NDUFA7
4702,NDUFA8
4704,NDUFA9
4706,NDUFAB1
51103,NDUFAF1
91942,NDUFAF2
25915,NDUFAF3
29078,NDUFAF4
4707,NDUFB1
4716,NDUFB10
54539,NDUFB11
4708,NDUFB2
4709,NDUFB3
4710,NDUFB4
4711,NDUFB5
4712,NDUFB6
4713,NDUFB7
4714,NDUFB8
4715,NDUFB9
4717,NDUFC1
4718,NDUFC2
4719,NDUFS1
4720,NDUFS2
4722,NDUFS3
4724,NDUFS4
4725,NDUFS5
4726,NDUFS6
374291,NDUFS7
4728,NDUFS8
4723,NDUFV1
4729,NDUFV2
4731,NDUFV3
257194,NEGR1
79661,NEIL1
4751,NEK2
10783,NEK6
4759,NEU2
4760,NEUROD1
50674,NEUROG3
4773,NFATC2
4780,NFE2L2
4790,NFKB1
4791,NFKB2
4808,NHLH2
4825,NKX6-1
114548,NLRP3
4843,NOS2
4846,NOS3
4853,NOTCH2
50507,NOX4
